VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
150466	Sous le béton	ARIDA Roy	fiction	147,216									
149641	Survivants (Les)	RENUSSON Guillaume	fiction	2,165,262									
150966	Swing rendez-vous	BARRY Gérome	fiction	211,891									
151228	Tour du monde en 80 jours (Le)	TOURNEUX Samuel	animation	14,477,261									
148380	Toutes les vies de Kojin 	YAZDANI Diako	docu	211,849									
153205	Tranchées	BUREAU Loup	docu	455,099									
152497	Trop d'amour	WALLACH Frankie	fiction	519,990									
149811	Tropique de la violence	SCHAPIRA Manuel	fiction	2,950,002									
147511	Une femme du monde	DUCROCQ Cecile	fiction	2,580,000									
153765	Vacances	DE STAEL Beatrice / WOLFENSTEIN Leo	fiction	1,128,417									
147828	Vaurien	DOUROUNTZIS Peter	fiction	648,812									
149637	Vie naturelle du pou (La)	MOUGNE Emmanuelle	fiction	83,541									
152190	Vieille dame et les visiteurs (La)	PONSIN Camille	docu	468,867									
152275	Voyage d'Anton (Le)	LOUPAN Mariana	docu	231,757									
153196	Yulia ou l'espace des possibles	DENIEL-LAURENT Bruno	docu	337,090									
148209	#Moscou-Royan	COSSON Elena	fiction	98,738									
151695	140 km à l'ouest du paradis	ROUZET Celine	docu	457,947									
150776	Bigger than us	VASSEUR Flore	docu	1,899,390									
147494	Bout'chou	PIQUET-GAUTHIER Adrien	fiction	4,236,562									
149177	Bruno Reidal	LE PORT Vincent	fiction	1,741,868									
142569	Cigare au miel	AINOUZ Kamir	fiction	2,104,264									
146519	Cobayes (Les)	POULAIN-ARNAUD Emmanuel	fiction	987,171									
151086	Comètes (Les)	TAGNATI Pascal	fiction	416,342									
125444	Comment je suis devenu super-héros	ATTAL Douglas	fiction	11,852,972									
150005	Dans la forêt du Cinéma	MARESCOT Luc	docu	280,740									
148148	Dans la terrible jungle	CAPELLE Caroline / LEY Ombline	docu	211,550									
149239	De l'or pour les chiens	CAZENAVE-CAMBET Anna	fiction	909,340									
150239	Déflagrations	PEIRANI-VIGNES Vanya	fiction	880,366									
151532	Dernier voyage de Paul W.R (Le)	QUIROT Romain	fiction	2,961,896									
143205	Des gens bien	LOPEZ Bruno / VIEILLY Emmanuel	fiction	375,967									
